mask     ok?       cycles      CM/MHz  passes
0x520    pass      793193    1.335115  [narrow_loads,unroll,leg_f]
0x521    pass      793193    1.335115  [fold_br,narrow_loads,unroll,leg_f]
0x522    pass      793193    1.335115  [dead_blocks,narrow_loads,unroll,leg_f]
0x523    pass      793193    1.335115  [fold_br,dead_blocks,narrow_loads,unroll,leg_f]
0x424    pass      792953    1.335436  [copy_prop,narrow_loads,leg_f]
0x425    pass      792953    1.335436  [fold_br,copy_prop,narrow_loads,leg_f]
0x524    pass      792953    1.335436  [copy_prop,narrow_loads,unroll,leg_f]
0x525    pass      792953    1.335436  [fold_br,copy_prop,narrow_loads,unroll,leg_f]
0x426    pass      792943    1.335454  [dead_blocks,copy_prop,narrow_loads,leg_f]
0x427    pass      792943    1.335454  [fold_br,dead_blocks,copy_prop,narrow_loads,leg_f]
0x526    pass      792943    1.335454  [dead_blocks,copy_prop,narrow_loads,unroll,leg_f]
0x527    pass      792943    1.335454  [fold_br,dead_blocks,copy_prop,narrow_loads,unroll,leg_f]
0x428    pass      792224    1.335568  [cse,narrow_loads,leg_f]
0x429    pass      792224    1.335568  [fold_br,cse,narrow_loads,leg_f]
0x42a    pass      792224    1.335568  [dead_blocks,cse,narrow_loads,leg_f]
0x42b    pass      792224    1.335568  [fold_br,dead_blocks,cse,narrow_loads,leg_f]
0x528    pass      792224    1.335568  [cse,narrow_loads,unroll,leg_f]
0x529    pass      792224    1.335568  [fold_br,cse,narrow_loads,unroll,leg_f]
0x52a    pass      792224    1.335568  [dead_blocks,cse,narrow_loads,unroll,leg_f]
0x52b    pass      792224    1.335568  [fold_br,dead_blocks,cse,narrow_loads,unroll,leg_f]
0x42c    pass      791984    1.335889  [copy_prop,cse,narrow_loads,leg_f]
0x42d    pass      791984    1.335889  [fold_br,copy_prop,cse,narrow_loads,leg_f]
0x52c    pass      791984    1.335889  [copy_prop,cse,narrow_loads,unroll,leg_f]
0x52d    pass      791984    1.335889  [fold_br,copy_prop,cse,narrow_loads,unroll,leg_f]
0x42e    pass      791974    1.335907  [dead_blocks,copy_prop,cse,narrow_loads,leg_f]
0x42f    pass      791974    1.335907  [fold_br,dead_blocks,copy_prop,cse,narrow_loads,leg_f]
0x52e    pass      791974    1.335907  [dead_blocks,copy_prop,cse,narrow_loads,unroll,leg_f]
0x52f    pass      791974    1.335907  [fold_br,dead_blocks,copy_prop,cse,narrow_loads,unroll,leg_f]
0x600    pass      791729    1.336201  [leg_e,leg_f]
0x601    pass      791729    1.336201  [fold_br,leg_e,leg_f]
0x602    pass      791729    1.336201  [dead_blocks,leg_e,leg_f]
0x603    pass      791729    1.336201  [fold_br,dead_blocks,leg_e,leg_f]
0x700    pass      791729    1.336201  [unroll,leg_e,leg_f]
0x701    pass      791729    1.336201  [fold_br,unroll,leg_e,leg_f]
0x702    pass      791729    1.336201  [dead_blocks,unroll,leg_e,leg_f]
0x703    pass      791729    1.336201  [fold_br,dead_blocks,unroll,leg_e,leg_f]
0x220    pass      795150    1.336501  [narrow_loads,leg_e]
0x221    pass      795150    1.336501  [fold_br,narrow_loads,leg_e]
0x222    pass      795150    1.336501  [dead_blocks,narrow_loads,leg_e]
0x223    pass      795150    1.336501  [fold_br,dead_blocks,narrow_loads,leg_e]
0x320    pass      795150    1.336501  [narrow_loads,unroll,leg_e]
0x321    pass      795150    1.336501  [fold_br,narrow_loads,unroll,leg_e]
0x322    pass      795150    1.336501  [dead_blocks,narrow_loads,unroll,leg_e]
0x323    pass      795150    1.336501  [fold_br,dead_blocks,narrow_loads,unroll,leg_e]
0x604    pass      791489    1.336523  [copy_prop,leg_e,leg_f]
0x605    pass      791489    1.336523  [fold_br,copy_prop,leg_e,leg_f]
0x704    pass      791489    1.336523  [copy_prop,unroll,leg_e,leg_f]
0x705    pass      791489    1.336523  [fold_br,copy_prop,unroll,leg_e,leg_f]
0x228    pass      794355    1.336526  [cse,narrow_loads,leg_e]
0x229    pass      794355    1.336526  [fold_br,cse,narrow_loads,leg_e]
0x22a    pass      794355    1.336526  [dead_blocks,cse,narrow_loads,leg_e]
0x22b    pass      794355    1.336526  [fold_br,dead_blocks,cse,narrow_loads,leg_e]
0x328    pass      794355    1.336526  [cse,narrow_loads,unroll,leg_e]
0x329    pass      794355    1.336526  [fold_br,cse,narrow_loads,unroll,leg_e]
0x32a    pass      794355    1.336526  [dead_blocks,cse,narrow_loads,unroll,leg_e]
0x32b    pass      794355    1.336526  [fold_br,dead_blocks,cse,narrow_loads,unroll,leg_e]
0x606    pass      791479    1.336541  [dead_blocks,copy_prop,leg_e,leg_f]
0x607    pass      791479    1.336541  [fold_br,dead_blocks,copy_prop,leg_e,leg_f]
0x706    pass      791479    1.336541  [dead_blocks,copy_prop,unroll,leg_e,leg_f]
0x707    pass      791479    1.336541  [fold_br,dead_blocks,copy_prop,unroll,leg_e,leg_f]
0x608    pass      790760    1.336655  [cse,leg_e,leg_f]
0x609    pass      790760    1.336655  [fold_br,cse,leg_e,leg_f]
0x60a    pass      790760    1.336655  [dead_blocks,cse,leg_e,leg_f]
0x60b    pass      790760    1.336655  [fold_br,dead_blocks,cse,leg_e,leg_f]
0x708    pass      790760    1.336655  [cse,unroll,leg_e,leg_f]
0x709    pass      790760    1.336655  [fold_br,cse,unroll,leg_e,leg_f]
0x70a    pass      790760    1.336655  [dead_blocks,cse,unroll,leg_e,leg_f]
0x70b    pass      790760    1.336655  [fold_br,dead_blocks,cse,unroll,leg_e,leg_f]
0x224    pass      794910    1.336823  [copy_prop,narrow_loads,leg_e]
0x225    pass      794910    1.336823  [fold_br,copy_prop,narrow_loads,leg_e]
0x324    pass      794910    1.336823  [copy_prop,narrow_loads,unroll,leg_e]
0x325    pass      794910    1.336823  [fold_br,copy_prop,narrow_loads,unroll,leg_e]
0x226    pass      794764    1.336841  [dead_blocks,copy_prop,narrow_loads,leg_e]
0x227    pass      794764    1.336841  [fold_br,dead_blocks,copy_prop,narrow_loads,leg_e]
0x326    pass      794764    1.336841  [dead_blocks,copy_prop,narrow_loads,unroll,leg_e]
0x327    pass      794764    1.336841  [fold_br,dead_blocks,copy_prop,narrow_loads,unroll,leg_e]
0x22c    pass      794115    1.336848  [copy_prop,cse,narrow_loads,leg_e]
0x22d    pass      794115    1.336848  [fold_br,copy_prop,cse,narrow_loads,leg_e]
0x32c    pass      794115    1.336848  [copy_prop,cse,narrow_loads,unroll,leg_e]
0x32d    pass      794115    1.336848  [fold_br,copy_prop,cse,narrow_loads,unroll,leg_e]
0x22e    pass      793969    1.336866  [dead_blocks,copy_prop,cse,narrow_loads,leg_e]
0x22f    pass      793969    1.336866  [fold_br,dead_blocks,copy_prop,cse,narrow_loads,leg_e]
0x32e    pass      793969    1.336866  [dead_blocks,copy_prop,cse,narrow_loads,unroll,leg_e]
0x32f    pass      793969    1.336866  [fold_br,dead_blocks,copy_prop,cse,narrow_loads,unroll,leg_e]
0x60c    pass      790520    1.336977  [copy_prop,cse,leg_e,leg_f]
0x60d    pass      790520    1.336977  [fold_br,copy_prop,cse,leg_e,leg_f]
0x70c    pass      790520    1.336977  [copy_prop,cse,unroll,leg_e,leg_f]
0x70d    pass      790520    1.336977  [fold_br,copy_prop,cse,unroll,leg_e,leg_f]
0x60e    pass      790510    1.336994  [dead_blocks,copy_prop,cse,leg_e,leg_f]
0x60f    pass      790510    1.336994  [fold_br,dead_blocks,copy_prop,cse,leg_e,leg_f]
0x70e    pass      790510    1.336994  [dead_blocks,copy_prop,cse,unroll,leg_e,leg_f]
0x70f    pass      790510    1.336994  [fold_br,dead_blocks,copy_prop,cse,unroll,leg_e,leg_f]
0x460    pass      790233    1.340340  [narrow_loads,licm_const,leg_f]
0x461    pass      790233    1.340340  [fold_br,narrow_loads,licm_const,leg_f]
0x462    pass      790233    1.340340  [dead_blocks,narrow_loads,licm_const,leg_f]
0x463    pass      790233    1.340340  [fold_br,dead_blocks,narrow_loads,licm_const,leg_f]
0x560    pass      790233    1.340340  [narrow_loads,licm_const,unroll,leg_f]
0x561    pass      790233    1.340340  [fold_br,narrow_loads,licm_const,unroll,leg_f]
0x562    pass      790233    1.340340  [dead_blocks,narrow_loads,licm_const,unroll,leg_f]
0x563    pass      790233    1.340340  [fold_br,dead_blocks,narrow_loads,licm_const,unroll,leg_f]
0x464    pass      789993    1.340664  [copy_prop,narrow_loads,licm_const,leg_f]
0x465    pass      789993    1.340664  [fold_br,copy_prop,narrow_loads,licm_const,leg_f]
0x564    pass      789993    1.340664  [copy_prop,narrow_loads,licm_const,unroll,leg_f]
0x565    pass      789993    1.340664  [fold_br,copy_prop,narrow_loads,licm_const,unroll,leg_f]
